variables =	x, p
-2.56208e-05	152279
-3.5e-06	3.33949e+06
-2.3687e-05	152279
-2.17561e-05	220097
-1.9839e-05	301062
-1.7943e-05	407247
-1.60794e-05	543613
-1.43428e-05	719490
-1.28039e-05	943812
-1.14406e-05	1.22229e+06
-1.02331e-05	1.5546e+06
-9.15786e-06	1.93005e+06
-8.19494e-06	2.31972e+06
-7.33317e-06	2.68196e+06
-6.5624e-06	2.97373e+06
-5.87342e-06	3.17038e+06
-5.25789e-06	3.2681e+06
-4.70646e-06	3.31919e+06
-4.25481e-06	3.33087e+06
-3.87179e-06	3.33949e+06
